Protocol ID,Protocol Name,Category,IEC/ISO Standard,Test Duration (Hours),Module File Path,JSON Template Path,Streamlit Page Path,Equipment Required
PVTP-001,STC Power Measurement,Module Performance,IEC 61215-1:2021,2,protocols/performance/pvtp_001_stc_power.py,templates/protocols/PVTP-001.json,pages/protocol_execution/PVTP-001.py,"Solar Simulator, I-V Tracer"
PVTP-002,NOCT Measurement,Module Performance,IEC 61215-1:2021 (MST 04),6,protocols/performance/pvtp_002_noct.py,templates/protocols/PVTP-002.json,pages/protocol_execution/PVTP-002.py,"Outdoor Test Rack, Pyranometer, Temperature Sensors"
PVTP-003,Low Irradiance Performance,Module Performance,IEC 61215-1:2021 (MST 05),3,protocols/performance/pvtp_003_low_irradiance.py,templates/protocols/PVTP-003.json,pages/protocol_execution/PVTP-003.py,"Solar Simulator (Variable), I-V Tracer"
PVTP-004,Temperature Coefficients,Module Performance,IEC 61215-1:2021 (MST 06),4,protocols/performance/pvtp_004_temp_coefficients.py,templates/protocols/PVTP-004.json,pages/protocol_execution/PVTP-004.py,"Temperature Chamber, Solar Simulator"
PVTP-005,I-V Curve Analysis,Module Performance,IEC 60904-1:2020,2,protocols/performance/pvtp_005_iv_curve.py,templates/protocols/PVTP-005.json,pages/protocol_execution/PVTP-005.py,"High-Precision I-V Tracer"
PVTP-006,Spectral Response,Module Performance,IEC 60904-8:2014,3,protocols/performance/pvtp_006_spectral_response.py,templates/protocols/PVTP-006.json,pages/protocol_execution/PVTP-006.py,"Monochromator, Light Source"
PVTP-007,Angle of Incidence (AOI),Module Performance,IEC 61215-1:2021 (MST 07),4,protocols/performance/pvtp_007_aoi.py,templates/protocols/PVTP-007.json,pages/protocol_execution/PVTP-007.py,"Rotating Test Platform, Solar Simulator"
PVTP-008,Bifacial Performance,Module Performance,IEC 60904-1-2:2019,3,protocols/performance/pvtp_008_bifacial.py,templates/protocols/PVTP-008.json,pages/protocol_execution/PVTP-008.py,"Dual-Sided Solar Simulator"
PVTP-009,Reverse Bias Characteristics,Module Performance,IEC 61215-1:2021 (MST 19),3,protocols/performance/pvtp_009_reverse_bias.py,templates/protocols/PVTP-009.json,pages/protocol_execution/PVTP-009.py,"Reverse Bias Power Supply, IR Camera"
PVTP-010,Insulation Resistance (Dry),Electrical Safety,IEC 61215-1:2021 (MST 01),1,protocols/safety/pvtp_010_insulation_dry.py,templates/protocols/PVTP-010.json,pages/protocol_execution/PVTP-010.py,Insulation Resistance Tester (1000V)
PVTP-011,Insulation Resistance (Wet),Electrical Safety,IEC 61215-1:2021 (MST 02),3,protocols/safety/pvtp_011_wet_leakage.py,templates/protocols/PVTP-011.json,pages/protocol_execution/PVTP-011.py,"Water Spray Apparatus, Leakage Current Meter"
PVTP-012,Diode Thermal Test,Electrical Safety,IEC 61215-1:2021 (MST 18),2,protocols/safety/pvtp_012_diode_thermal.py,templates/protocols/PVTP-012.json,pages/protocol_execution/PVTP-012.py,"IR Camera, Multimeter, Shading Device"
PVTP-013,Ground Continuity,Electrical Safety,IEC 61215-1:2021,0.5,protocols/safety/pvtp_013_ground_continuity.py,templates/protocols/PVTP-013.json,pages/protocol_execution/PVTP-013.py,Low Resistance Ohmmeter
PVTP-014,High Voltage Stress Test,Electrical Safety,IEC 61730-2:2016 (MST 50),1,protocols/safety/pvtp_014_high_voltage.py,templates/protocols/PVTP-014.json,pages/protocol_execution/PVTP-014.py,"High Voltage Tester, Current Monitor"
PVTP-015,Hot Spot Endurance,Electrical Safety,IEC 61215-1:2021 (MST 09),3,protocols/safety/pvtp_015_hot_spot.py,templates/protocols/PVTP-015.json,pages/protocol_execution/PVTP-015.py,"IR Camera, Solar Simulator, Shading Device"
PVTP-016,Fire Resistance (Class A/B/C),Electrical Safety,IEC 61730-2:2016,24,protocols/safety/pvtp_016_fire_resistance.py,templates/protocols/PVTP-016.json,pages/protocol_execution/PVTP-016.py,"Fire Test Apparatus, Burning Brand"
PVTP-017,Overvoltage Protection,Electrical Safety,IEC 61730-2:2016,2,protocols/safety/pvtp_017_overvoltage.py,templates/protocols/PVTP-017.json,pages/protocol_execution/PVTP-017.py,"Impulse Generator, Voltage Monitor"
PVTP-018,Thermal Cycling,Environmental Testing,IEC 61215-1:2021 (MQT 12),840,protocols/environmental/pvtp_018_thermal_cycling.py,templates/protocols/PVTP-018.json,pages/protocol_execution/PVTP-018.py,Thermal Cycling Chamber
PVTP-019,Humidity Freeze,Environmental Testing,IEC 61215-1:2021 (MQT 13),360,protocols/environmental/pvtp_019_humidity_freeze.py,templates/protocols/PVTP-019.json,pages/protocol_execution/PVTP-019.py,Climate Chamber with Humidity Control
PVTP-020,Damp Heat,Environmental Testing,IEC 61215-1:2021 (MQT 14),1000,protocols/environmental/pvtp_020_damp_heat.py,templates/protocols/PVTP-020.json,pages/protocol_execution/PVTP-020.py,Damp Heat Chamber
PVTP-021,UV Preconditioning,Environmental Testing,IEC 61215-1:2021 (MQT 10),168,protocols/environmental/pvtp_021_uv_preconditioning.py,templates/protocols/PVTP-021.json,pages/protocol_execution/PVTP-021.py,UV Chamber with Filtered Lamps
PVTP-022,UV Extended Exposure,Environmental Testing,"IEC 61215-1:2021, IEC 61345",720,protocols/environmental/pvtp_022_uv_extended.py,templates/protocols/PVTP-022.json,pages/protocol_execution/PVTP-022.py,UV Chamber with Spectral Monitoring
PVTP-023,Salt Mist Corrosion,Environmental Testing,"IEC 61215-1:2021, IEC 60068-2-52",336,protocols/environmental/pvtp_023_salt_mist.py,templates/protocols/PVTP-023.json,pages/protocol_execution/PVTP-023.py,Salt Spray Chamber
PVTP-024,Ammonia Corrosion,Environmental Testing,IEC 62716:2013,240,protocols/environmental/pvtp_024_ammonia.py,templates/protocols/PVTP-024.json,pages/protocol_execution/PVTP-024.py,Ammonia Chamber
PVTP-025,High Temperature/High Humidity (HTHH),Environmental Testing,IEC 62938:2020,2000,protocols/environmental/pvtp_025_hthh.py,templates/protocols/PVTP-025.json,pages/protocol_execution/PVTP-025.py,Climate Chamber
PVTP-026,Temperature/Humidity Cycling,Environmental Testing,IEC TS 63126:2020,720,protocols/environmental/pvtp_026_th_cycling.py,templates/protocols/PVTP-026.json,pages/protocol_execution/PVTP-026.py,Advanced Climate Chamber
PVTP-027,Dry Heat,Environmental Testing,IEC 61215-1:2021,200,protocols/environmental/pvtp_027_dry_heat.py,templates/protocols/PVTP-027.json,pages/protocol_execution/PVTP-027.py,Dry Heat Oven
PVTP-028,Cold Temperature Test,Environmental Testing,IEC 61215-1:2021,72,protocols/environmental/pvtp_028_cold_temp.py,templates/protocols/PVTP-028.json,pages/protocol_execution/PVTP-028.py,Cold Chamber
PVTP-029,Outdoor Exposure,Environmental Testing,IEC 61215-1:2021 (MQT 20),4380,protocols/environmental/pvtp_029_outdoor_exposure.py,templates/protocols/PVTP-029.json,pages/protocol_execution/PVTP-029.py,"Outdoor Test Rack, Monitoring Equipment"
PVTP-030,Mechanical Load Test (Static),Mechanical Testing,IEC 61215-1:2021 (MQT 16),3,protocols/mechanical/pvtp_030_static_load.py,templates/protocols/PVTP-030.json,pages/protocol_execution/PVTP-030.py,Pressure Chamber or Load Frame
PVTP-031,Mechanical Load Test (Dynamic),Mechanical Testing,IEC 61215-1:2021 (MQT 17),72,protocols/mechanical/pvtp_031_dynamic_load.py,templates/protocols/PVTP-031.json,pages/protocol_execution/PVTP-031.py,Dynamic Load Test Machine
PVTP-032,Hail Impact Test,Mechanical Testing,IEC 61215-1:2021 (MQT 15),2,protocols/mechanical/pvtp_032_hail_impact.py,templates/protocols/PVTP-032.json,pages/protocol_execution/PVTP-032.py,Hail Gun or Pneumatic Launcher
PVTP-033,Twist Test,Mechanical Testing,IEC 61215-1:2021 (MQT 08),1,protocols/mechanical/pvtp_033_twist.py,templates/protocols/PVTP-033.json,pages/protocol_execution/PVTP-033.py,Twist Test Fixture
PVTP-034,Robustness of Terminations,Mechanical Testing,IEC 61215-1:2021 (MQT 07),2,protocols/mechanical/pvtp_034_terminations.py,templates/protocols/PVTP-034.json,pages/protocol_execution/PVTP-034.py,"Pull Tester, Torque Tester"
PVTP-035,Bypass Diode Function,Mechanical Testing,IEC 61215-1:2021 (MQT 09),1,protocols/mechanical/pvtp_035_diode_function.py,templates/protocols/PVTP-035.json,pages/protocol_execution/PVTP-035.py,"Multimeter, I-V Curve Tracer"
PVTP-036,Mounting System Stress,Mechanical Testing,IEC 61215-1:2021,2,protocols/mechanical/pvtp_036_mounting_stress.py,templates/protocols/PVTP-036.json,pages/protocol_execution/PVTP-036.py,"Mounting Clamps, Load Device"
PVTP-037,Edge Seal Durability,Mechanical Testing,IEC 61215-1:2021,2,protocols/mechanical/pvtp_037_edge_seal.py,templates/protocols/PVTP-037.json,pages/protocol_execution/PVTP-037.py,"Peel Tester, Microscope"
PVTP-038,PID Testing (Potential Induced Degradation),Degradation Analysis,IEC 62804-1:2015,192,protocols/degradation/pvtp_038_pid.py,templates/protocols/PVTP-038.json,pages/protocol_execution/PVTP-038.py,"PID Chamber, High Voltage Supply"
PVTP-039,LID Testing (Light Induced Degradation),Degradation Analysis,IEC 61215-1:2021,72,protocols/degradation/pvtp_039_lid.py,templates/protocols/PVTP-039.json,pages/protocol_execution/PVTP-039.py,Light Soaking Chamber
PVTP-040,LeTID Testing,Degradation Analysis,IEC TS 60904-13:2018,336,protocols/degradation/pvtp_040_letid.py,templates/protocols/PVTP-040.json,pages/protocol_execution/PVTP-040.py,LeTID Chamber with Temperature Control
PVTP-041,UV Degradation (Long-term),Degradation Analysis,IEC 61345:1998,1440,protocols/degradation/pvtp_041_uv_degradation.py,templates/protocols/PVTP-041.json,pages/protocol_execution/PVTP-041.py,UV Chamber with Spectral Control
PVTP-042,Thermal Stress Screening,Degradation Analysis,Custom / Industry Practice,168,protocols/degradation/pvtp_042_thermal_stress_screening.py,templates/protocols/PVTP-042.json,pages/protocol_execution/PVTP-042.py,Thermal Cycling Chamber (Rapid Ramp)
PVTP-043,Reverse Current Overstress,Degradation Analysis,IEC 61215-1:2021,2,protocols/degradation/pvtp_043_reverse_current.py,templates/protocols/PVTP-043.json,pages/protocol_execution/PVTP-043.py,"Reverse Current Source, IR Camera"
PVTP-044,Visual Inspection,Quality Control,IEC 61215-1:2021 (MQT 01),1,protocols/qc/pvtp_044_visual_inspection.py,templates/protocols/PVTP-044.json,pages/protocol_execution/PVTP-044.py,"Visual Aids, Microscope, Lighting"
PVTP-045,Electroluminescence (EL) Imaging,Quality Control,IEC TS 60904-13:2018,0.5,protocols/qc/pvtp_045_el_imaging.py,templates/protocols/PVTP-045.json,pages/protocol_execution/PVTP-045.py,"EL Camera, Dark Room, Bias Supply"
